Desc,Category
Deposit Tim food,Dad
Arco,Gasoline
Venmo,Venmo
Razor subscription,Subscriptions
Starbuds,Gasoline
Transfer from esl savings,Finacial
WWU refund,Finacial
International fee,Finacial
BBG's,Restaurants
Buying wifi on plane,Travel/ Entertainment
The Underground,Restaurants
Liquor Store,Restaurants
Paraniunt Plus,Subscriptions
Kuru Kuru Sushi,Restaurants
Dad esl payment,Finacial
Sugar on Magnolia,Gasoline
Subway,Restaurants
TOMWAHL'S,Restaurants
Non-ESL Transaction Fee,Finacial
LOCUS,Restaurants
Solver,Education
Canada hostel,Travel/ Entertainment
Farmers market,Restaurants
Vanguard,Finacial
Passport fee,Random
WA DMV,Random
THE SPICE HUT,Supermarkets
Cascade dispensary,Gasoline
Bank withdrawl mexico,Finacial
Tiktok shop,Random
Restaurant,Restaurants
Starbucks,Restaurants
NYS DTF PIT -Tax Paymnt,Finacial
USPS change of address,Random
gas station,Gasoline
Instacart,Supermarkets
Real Time Payment DepositCOINBASE,Finacial
Deposit Repayment,Finacial
Ally savings to spending,Finacial
Requested transfer from TIMOTHY HUTKOWSKI,Finacial
Transfer from ally invest,Finacial
Non-ESL Transaction Fee,Finacial
COSTADESIGN,Random
ACCOMPLICE,Restaurants
JOANNSTORES,Random
URBANMARKET,Gasoline
LAKEWAY STATION,Gasoline
Chegg,Random
RiteAid,Gasoline
Minecraft,Random
Xbox,Random
Whole Foods,Restaurants
CAFFED'ARTE,Random
440DC ARTS,Random
ADPSJD AEROMARKET,Random
Tax refund,Finacial
Withdrawal me and aidan,Finacial
For data purposes,Finacial
Internet Transfer to1379352311,Finacial
 FILTEN PRIM 310N,Random
WATER,Water
